vatn_lnr;year;Ca;lnCa;lnTOC;sdep_pred;TOC;ndvi.summer;q.summer;tm.summer;SO4;ndvi.summer_lag1;ndvi.summer_lag2;ndvi.summer_lag3;ndvi.summer_lag4;ndvi.summer_lag5;q.summer_lag1;q.summer_lag2;q.summer_lag3;q.summer_lag4;q.summer_lag5;sdep_pred_lag1;sdep_pred_lag2;sdep_pred_lag3;sdep_pred_lag4;sdep_pred_lag5
69;2000;;;;353.151082;;0.761388888;9.650000597;7.694793309;;0.74566666;0.672499996;0.751944443;0.772499998;0.751166662;15.7048175;16.86007826;12.33729002;6.276816308;16.49488112;383.8660872;338.3435069;343.5573497;552.897148;572.8902952
69;2001;0.56;-0.579818495;-0.094310679;310.1378066;0.91;0.736677769;20.81245639;8.178573477;1;0.761388888;0.74566666;0.672499996;0.751944443;0.772499998;9.650000597;15.7048175;16.86007826;12.33729002;6.276816308;353.151082;383.8660872;338.3435069;343.5573497;552.897148
69;2002;;;;269.324076;;0.746222228;10.1457055;9.609591099;;0.736677769;0.761388888;0.74566666;0.672499996;0.751944443;20.81245639;9.650000597;15.7048175;16.86007826;12.33729002;310.1378066;353.151082;383.8660872;338.3435069;343.5573497
69;2003;0.66;-0.415515444;-0.162518929;291.2315659;0.85;0.750788884;14.8344555;9.522931004;1.13;0.746222228;0.736677769;0.761388888;0.74566666;0.672499996;10.1457055;20.81245639;9.650000597;15.7048175;16.86007826;269.324076;310.1378066;353.151082;383.8660872;338.3435069
69;2004;0.63;-0.46203546;-0.274436846;248.3001151;0.76;0.735888888;10.36345938;8.058329152;0.98;0.750788884;0.746222228;0.736677769;0.761388888;0.74566666;14.8344555;10.1457055;20.81245639;9.650000597;15.7048175;291.2315659;269.324076;310.1378066;353.151082;383.8660872
69;2005;0.67;-0.400477567;-0.210721031;252.2466107;0.81;0.695166671;10.05270938;8.421514934;0.94;0.735888888;0.750788884;0.746222228;0.736677769;0.761388888;10.36345938;14.8344555;10.1457055;20.81245639;9.650000597;248.3001151;291.2315659;269.324076;310.1378066;353.151082
69;2006;0.79;-0.235722334;-0.061875404;267.8926305;0.94;0.750966671;9.366371864;10.07286798;0.94;0.695166671;0.735888888;0.750788884;0.746222228;0.736677769;10.05270938;10.36345938;14.8344555;10.1457055;20.81245639;252.2466107;248.3001151;291.2315659;269.324076;310.1378066
69;2007;0.62;-0.478035801;-0.139262067;109.5870509;0.87;0.673933334;14.14839068;8.674129331;0.85;0.750966671;0.695166671;0.735888888;0.750788884;0.746222228;9.366371864;10.05270938;10.36345938;14.8344555;10.1457055;267.8926305;252.2466107;248.3001151;291.2315659;269.324076
69;2008;0.63;-0.46203546;0;118.712624;1;0.74727778;15.06827389;8.633809737;0.77;0.673933334;0.750966671;0.695166671;0.735888888;0.750788884;14.14839068;9.366371864;10.05270938;10.36345938;14.8344555;109.5870509;267.8926305;252.2466107;248.3001151;291.2315659
69;2009;0.74;-0.301105093;-0.287682072;151.3800899;0.75;0.663833333;14.12831392;8.730864098;0.86;0.74727778;0.673933334;0.750966671;0.695166671;0.735888888;15.06827389;14.14839068;9.366371864;10.05270938;10.36345938;118.712624;109.5870509;267.8926305;252.2466107;248.3001151
69;2010;0.59;-0.527632742;-0.105360516;144.7209534;0.9;0.747199989;15.18783961;9.167152031;0.75;0.663833333;0.74727778;0.673933334;0.750966671;0.695166671;14.12831392;15.06827389;14.14839068;9.366371864;10.05270938;151.3800899;118.712624;109.5870509;267.8926305;252.2466107
69;2011;0.8;-0.223143551;-0.139262067;98.39404265;0.87;0.635266675;14.79560902;9.186864994;0.81;0.747199989;0.663833333;0.74727778;0.673933334;0.750966671;15.18783961;14.12831392;15.06827389;14.14839068;9.366371864;144.7209534;151.3800899;118.712624;109.5870509;267.8926305
69;2012;0.73;-0.314710745;-0.430782916;108.1196875;0.65;;9.464505974;8.037404719;0.72;0.635266675;0.747199989;0.663833333;0.74727778;0.673933334;14.79560902;15.18783961;14.12831392;15.06827389;14.14839068;98.39404265;144.7209534;151.3800899;118.712624;109.5870509
69;2013;0.57;-0.562118918;-0.030459207;103.8958962;0.97;;14.39681213;9.064541517;0.68;;0.635266675;0.747199989;0.663833333;0.74727778;9.464505974;14.79560902;15.18783961;14.12831392;15.06827389;108.1196875;98.39404265;144.7209534;151.3800899;118.712624
282;1957;;;;;;;2.584250896;10.50911828;;;;;;;;;;;;;;;;
282;1958;;;;;;;0.849749821;10.74186237;;;;;;;2.584250896;;;;;;;;;
282;1959;;;;;;;0.612522581;11.6336681;;;;;;;0.849749821;2.584250896;;;;;;;;
282;1960;;;;;;;2.996336201;10.98992043;;;;;;;0.612522581;0.849749821;2.584250896;;;;;;;
282;1961;;;;;;;1.329818638;10.26609821;;;;;;;2.996336201;0.612522581;0.849749821;2.584250896;;;;;;
282;1962;;;;;;;1.722895341;8.898002867;;;;;;;1.329818638;2.996336201;0.612522581;0.849749821;2.584250896;;;;;
282;1963;;;;;;;1.443881004;11.28862581;;;;;;;1.722895341;1.329818638;2.996336201;0.612522581;0.849749821;;;;;
282;1964;;;;;;;1.555773477;9.320643728;;;;;;;1.443881004;1.722895341;1.329818638;2.996336201;0.612522581;;;;;
282;1965;;;;;;;2.154139785;9.401091756;;;;;;;1.555773477;1.443881004;1.722895341;1.329818638;2.996336201;;;;;
282;1966;;;;;;;2.002943369;11.07622007;;;;;;;2.154139785;1.555773477;1.443881004;1.722895341;1.329818638;;;;;
282;1967;;;;;;;2.732182079;10.3940509;;;;;;;2.002943369;2.154139785;1.555773477;1.443881004;1.722895341;;;;;
282;1968;;;;;;;1.872324014;11.22226308;;;;;;;2.732182079;2.002943369;2.154139785;1.555773477;1.443881004;;;;;
282;1969;;;;;;;1.207673835;12.28788459;;;;;;;1.872324014;2.732182079;2.002943369;2.154139785;1.555773477;;;;;
282;1970;;;;;;;0.970446595;11.33650896;;;;;;;1.207673835;1.872324014;2.732182079;2.002943369;2.154139785;;;;;
282;1971;;;;;;;1.521600717;9.947903943;;;;;;;0.970446595;1.207673835;1.872324014;2.732182079;2.002943369;;;;;
282;1972;;;;;;;2.436044444;11.05516057;;;;;;;1.521600717;0.970446595;1.207673835;1.872324014;2.732182079;;;;;
282;1973;;;;;;;1.9282;10.95466308;;;;;;;2.436044444;1.521600717;0.970446595;1.207673835;1.872324014;;;;;
282;1974;;;;;;;1.278202151;9.773607168;;;;;;;1.9282;2.436044444;1.521600717;0.970446595;1.207673835;;;;;
282;1975;;;;;;;0.746939068;11.42075627;;;;;;;1.278202151;1.9282;2.436044444;1.521600717;0.970446595;;;;;
282;1976;;;;;;;0.378063082;11.24759068;;;;;;;0.746939068;1.278202151;1.9282;2.436044444;1.521600717;;;;;
282;1977;;;;;;;2.246955556;10.12856487;;;;;;;0.378063082;0.746939068;1.278202151;1.9282;2.436044444;;;;;
282;1978;;;;;;;0.948373477;10.41949176;;;;;;;2.246955556;0.378063082;0.746939068;1.278202151;1.9282;;;;;
282;1979;;;;;;;1.6143319;10.32489176;;;;;;;0.948373477;2.246955556;0.378063082;0.746939068;1.278202151;;;;;
282;1980;;;;850.3156051;;;2.036701792;11.45152186;;;;;;;1.6143319;0.948373477;2.246955556;0.378063082;0.746939068;;;;;
282;1981;;;;840.4166734;;;1.847304659;9.593845878;;;;;;;2.036701792;1.6143319;0.948373477;2.246955556;0.378063082;850.3156051;;;;
282;1982;;;;832.0192786;;0.830833341;1.235057348;10.94898423;;;;;;;1.847304659;2.036701792;1.6143319;0.948373477;2.246955556;840.4166734;850.3156051;;;
282;1983;;;;824.2435063;;0.830916668;0.708805018;11.01695699;;0.830833341;;;;;1.235057348;1.847304659;2.036701792;1.6143319;0.948373477;832.0192786;840.4166734;850.3156051;;
282;1984;;;;817.4001675;;0.731550006;1.20254552;10.61383441;;0.830916668;0.830833341;;;;0.708805018;1.235057348;1.847304659;2.036701792;1.6143319;824.2435063;832.0192786;840.4166734;850.3156051;
282;1985;;;;796.4820976;;0.749933332;3.158472401;10.59584803;;0.731550006;0.830916668;0.830833341;;;1.20254552;0.708805018;1.235057348;1.847304659;2.036701792;817.4001675;824.2435063;832.0192786;840.4166734;850.3156051
282;1986;0.92;-0.083381609;1.637053079;807.1445224;5.14;0.815333337;1.416958423;11.05800717;2.6;0.749933332;0.731550006;0.830916668;0.830833341;;3.158472401;1.20254552;0.708805018;1.235057348;1.847304659;796.4820976;817.4001675;824.2435063;832.0192786;840.4166734
282;1987;0.95;-0.051293294;2.188295947;800.696759;8.92;0.744450005;2.43451828;9.502826523;2.5;0.815333337;0.749933332;0.731550006;0.830916668;0.830833341;1.416958423;3.158472401;1.20254552;0.708805018;1.235057348;807.1445224;796.4820976;817.4001675;824.2435063;832.0192786
282;1988;0.95;-0.051293294;1.829376333;789.1105151;6.23;0.780716668;2.494795699;11.96416989;2.4;0.744450005;0.815333337;0.749933332;0.731550006;0.830916668;2.43451828;1.416958423;3.158472401;1.20254552;0.708805018;800.696759;807.1445224;796.4820976;817.4001675;824.2435063
282;1989;0.88;-0.127833372;1.373715579;769.0395226;3.95;0.822583328;2.401828674;10.99993763;2.7;0.780716668;0.744450005;0.815333337;0.749933332;0.731550006;2.494795699;2.43451828;1.416958423;3.158472401;1.20254552;789.1105151;800.696759;807.1445224;796.4820976;817.4001675
282;1990;0.84;-0.174353387;1.396244692;768.4671284;4.04;0.82508334;1.075643728;11.01964946;2.5;0.822583328;0.780716668;0.744450005;0.815333337;0.749933332;2.401828674;2.494795699;2.43451828;1.416958423;3.158472401;769.0395226;789.1105151;800.696759;807.1445224;796.4820976
282;1991;0.92;-0.083381609;1.425515074;691.3519933;4.16;0.770450011;1.646728315;10.85792115;2.5;0.82508334;0.822583328;0.780716668;0.744450005;0.815333337;1.075643728;2.401828674;2.494795699;2.43451828;1.416958423;768.4671284;769.0395226;789.1105151;800.696759;807.1445224
282;1992;1.06;0.058268908;1.547562509;634.8055678;4.7;0.789083342;0.895243011;10.94729176;2.7;0.770450011;0.82508334;0.822583328;0.780716668;0.744450005;1.646728315;1.075643728;2.401828674;2.494795699;2.43451828;691.3519933;768.4671284;769.0395226;789.1105151;800.696759
282;1993;0.97;-0.030459207;1.916922612;571.9146162;6.8;0.800583333;1.633442294;9.361322581;2.4;0.789083342;0.770450011;0.82508334;0.822583328;0.780716668;0.895243011;1.646728315;1.075643728;2.401828674;2.494795699;634.8055678;691.3519933;768.4671284;769.0395226;789.1105151
282;1994;0.92;-0.083381609;1.774952351;507.0955179;5.9;0.800599992;1.797237276;11.93706308;2.1;0.800583333;0.789083342;0.770450011;0.82508334;0.822583328;1.633442294;0.895243011;1.646728315;1.075643728;2.401828674;571.9146162;634.8055678;691.3519933;768.4671284;769.0395226
282;1995;0.88;-0.127833372;1.504077397;458.3606621;4.5;0.864750003;2.664887455;11.65278065;2.2;0.800599992;0.800583333;0.789083342;0.770450011;0.82508334;1.797237276;1.633442294;0.895243011;1.646728315;1.075643728;507.0955179;571.9146162;634.8055678;691.3519933;768.4671284
282;1996;0.99;-0.010050336;1.722766598;394.8777087;5.6;0.783749998;1.072567742;11.27270394;2.4;0.864750003;0.800599992;0.800583333;0.789083342;0.770450011;2.664887455;1.797237276;1.633442294;0.895243011;1.646728315;458.3606621;507.0955179;571.9146162;634.8055678;691.3519933
282;1997;0.98;-0.020202707;1.974081026;273.372162;7.2;0.803450008;1.015898925;13.33295771;2.2;0.783749998;0.864750003;0.800599992;0.800583333;0.789083342;1.072567742;2.664887455;1.797237276;1.633442294;0.895243011;394.8777087;458.3606621;507.0955179;571.9146162;634.8055678
