"vatn_lnr" "year" "lnTOC" "sdep_pred" "TOC" "ndvi.summer" "q.summer" "tm.summer" "SO4" "ndvi.summer_lag1" "ndvi.summer_lag2" "ndvi.summer_lag3" "ndvi.summer_lag4" "ndvi.summer_lag5" "q.summer_lag1" "q.summer_lag2" "q.summer_lag3" "q.summer_lag4" "q.summer_lag5" "Cl"
"393" 1001 2007 0.832909122935104 72.0705245 2.3 0.843783328930537 2.80495758661888 10.8955734767025 1.06 0.820183336734771 0.818933337926864 0.829250002900759 0.77120000620683 0.799666663010915 2.52977001194743 6.36252508960572 2.65865173237754 2.34587574671446 2.07409557945042 5.68
"394" 1001 2008 0.916290731874155 57.11377182 2.5 0.848916664719582 1.0977174432497 10.2340286738351 1.18 0.843783328930537 0.820183336734771 0.818933337926864 0.829250002900759 0.77120000620683 2.80495758661888 2.52977001194743 6.36252508960572 2.65865173237754 2.34587574671446 5.91
"395" 1001 2009 0.693147180559945 75.60305479 2 0.833599994579951 1.43712724014337 10.8074838709677 1.11 0.848916664719582 0.843783328930537 0.820183336734771 0.818933337926864 0.829250002900759 1.0977174432497 2.80495758661888 2.52977001194743 6.36252508960572 2.65865173237754 5.66
"396" 1001 2010 0.741937344729377 78.33230907 2.1 0.849283322691917 2.5158578255675 9.15393309438474 1 0.833599994579951 0.848916664719582 0.843783328930537 0.820183336734771 0.818933337926864 1.43712724014337 1.0977174432497 2.80495758661888 2.52977001194743 6.36252508960572 5.13
"397" 1001 2011 0.8754687373539 82.18406434 2.4 0.879283338785172 3.0105651135006 11.1490890083632 0.94 0.849283322691917 0.833599994579951 0.848916664719582 0.843783328930537 0.820183336734771 2.5158578255675 1.43712724014337 1.0977174432497 2.80495758661888 2.52977001194743 4.84
"398" 1001 2012 0.78845736036427 74.6517879690125 2.2 NA 4.71065531660693 9.08044444444444 0.97 0.879283338785172 0.849283322691917 0.833599994579951 0.848916664719582 0.843783328930537 3.0105651135006 2.5158578255675 1.43712724014337 1.0977174432497 2.80495758661888 4.96
"399" 1001 2013 0.8754687373539 73.8703495175338 2.4 NA 2.2969247311828 10.9402485065711 0.94 NA 0.879283338785172 0.849283322691917 0.833599994579951 0.848916664719582 4.71065531660693 3.0105651135006 2.5158578255675 1.43712724014337 1.0977174432497 4.63
"400" 1094 1957 NA NA NA NA 13.8552096774193 7.38140860215054 NA NA NA NA NA NA NA NA NA NA NA NA
"401" 1094 1958 NA NA NA NA 14.8291155913978 6.98418100358423 NA NA NA NA NA NA 13.8552096774193 NA NA NA NA NA
"402" 1094 1959 NA NA NA NA 8.86610349462366 8.41798252688172 NA NA NA NA NA NA 14.8291155913978 13.8552096774193 NA NA NA NA
